"";"id";"Country";"iso3";"Region";"Date";"Measure_L1";"Measure_L2";"Measure_L3";"Measure_L4";"Comment";"Source"
"963";963;"Honduras";"HND";"Tegucigalpa, La Ceiba and Choluteca";"17/03/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"";"The government of the Republic has decreed an ABSOLUTE Curfew for cities from Tegucigalpa, San Pedro Sula, La Ceiba and Choluteca, in order to stop the spread of
coronavirus (Covid19)";"https://covid19honduras.org/?q=congelamiento-de-precios-absoluto"
"964";964;"Honduras";"HND";"San Pedro Sula";"17/03/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"";"total curfew extended to San Pedro Sula";"https://us.as.com/us/2020/03/17/tikitakas/1584479773_288009.html"
"965";965;"Honduras";"HND";"Honduras";"18/03/2020";"Healthcare and public health capacity";"Enhance laboratory testing";"Increase testing capacity (number tests)";"";"4200 reactives for COVID-19 tests";"https://covid19honduras.org/?q=Equipo-biomedico-llego-a-Honduras"
"966";966;"Honduras";"HND";"Honduras";"18/03/2020";"Healthcare and public health capacity";"Increase in medical supplies and equipment";"Respirators, phlegm suctioning devices";"For treatment of cases";"acquired 140 respirators, 90 phlegm suctioning devices";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/EQUIPO%2520ME%25CC%2581DICO%2520HONDURAS%2520.pdf"
"967";967;"Honduras";"HND";"Honduras";"18/03/2020";"Resource allocation";"Fixing maximum price for necessity goods";"";"";"";"https://covid19honduras.org/?q=congelamiento-de-precios-absoluto"
"968";968;"Honduras";"HND";"Puerto Cortes, Santa Cruz de Yojoa, El Triunfo";"19/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"";"extended regions";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/CADENA%2520NACIONAL%252020%2520MARZO%2520430PM.pdf"
"969";969;"Honduras";"HND";"Honduras";"20/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"";"until March 29th, for entire country";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/COMUNICADO%2520TOQUE%2520ABSOLUTO.pdf"
"970";970;"Honduras";"HND";"Honduras";"20/03/2020";"Resource allocation";"The government provides food assistance";"";"";"food aid (200 million Lempiras for technical assistance for small producers in vulnerable areas of country, and other measures)";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/2%2520PAQUETE%2520MEDIDAS%2520ECONO%25CC%2581MICAS%2520COVID19.pdf"
"971";971;"Honduras";"HND";"Honduras";"20/03/2020";"Travel restriction";"Airports closing for all international flights";"";"";"until March 29th";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/COMUNICADO%25203%2520-%252021%2520marzo%25202019.pdf"
"972";972;"Honduras";"HND";"Honduras";"21/03/2020";"Travel restriction";"Border restriction";"Borders closed for travellers but open for food supply";"";"";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/comunicado.pdf"
"973";973;"Honduras";"HND";"Honduras";"27/03/2020";"Resource allocation";"Crisis management plans";"Develop all-of-society and business continuity plans";"";"extension of deadlines for bank loans and credit";"https://covid19honduras.org/?q=precios-maximos-canasta-basica"
"974";974;"Honduras";"HND";"Honduras";"27/03/2020";"Travel restriction";"Cancellation of international flights";"Partial";"";"requests for flights have to be processed 24 hrs in advance";"https://docs.google.com/viewerng/viewer?url=https://covid19honduras.org/sites/default/files/CENTRO%2520DE%2520RECEPCION%2520DE%2520AUTORIZACIONES%2520DE%2520VUELOS%2520NACIONALES%2520E%2520INTERNACIONALES%2520%2520DE%2520RESCATE%2520VF%2520%25281%2529.pdf"
"975";975;"Honduras";"HND";"Honduras";"27/03/2020";"Resource allocation";"Fixing price for specific protective products";"";"";"establish maximum prices of basic foods";"https://covid19honduras.org/?q=precios-maximos-canasta-basica"
"976";976;"Honduras";"HND";"Honduras";"29/03/2020";"Travel restriction";"Individual movement restrictions";"Non-essential movements forbidden";"Extension";"to April 12";"https://covid19honduras.org/?q=nuevas-medidas-29-marzo-al-12-de-abril-pdf"
"977";977;"Honduras";"HND";"Honduras";"29/03/2020";"Travel restriction";"Individual movement restrictions";"Segmenting of population";"";"To achieve greater preventive control of COVID-19 transmission, it was determined to segment the population according to the completion of the digits of your identity card, passport and / or resident card";"https://covid19honduras.org/?q=nuevas-medidas-29-marzo-al-12-de-abril-pdf"
"978";978;"Honduras";"HND";"Honduras";"19/04/2020";"Travel restriction";"Individual movement restrictions";"Curfew";"extension of a total curfew";"On April 19, 2020, the Government of Honduras announced the extension of a total curfew through Sunday, April 26, 2020 for the entire country.";"https://hn.usembassy.gov/covid-19-information/"
"979";979;"Honduras";"HND";"Honduras";"19/04/2020";"Travel restriction";"Individual movement restrictions";"Segmenting of population";"extension";"The population will be segmented and allowed to circulate according to the ending number of their national ID, passport, or resident ID, like this: – Monday – those whose ID, passport, or resident ID end in 1 or 2. – Tuesday – those whose ID, passport, or resident ID end in 3 or 4. – Wednesday – those whose ID, passport, or resident ID end in 5 or 6. – Thursday – those whose ID, passport, or resident ID end in 7 or 8. – Friday – those whose ID, passport, or resident ID end in 9 or 0.";"https://hn.usembassy.gov/covid-19-information/"
"980";980;"Hong Kong";"HKG";"Hong Kong";"08/01/2020";"Healthcare and public health capacity";"Activate notification of cases";"Covid-19 as a notifiable disease";"";"";"https://www.ceo.gov.hk/chi/pdf/article20200225.pdf"
"981";981;"Hong Kong";"HKG";"Hong Kong";"25/01/2020";"Healthcare and public health capacity";"Activate emergency response mechanisms";"";"";"";"https://www.ceo.gov.hk/chi/pdf/article20200225.pdf"
"982";982;"Hong Kong";"HKG";"Hong Kong";"07/02/2020";"Healthcare and public health capacity";"Enhance emergency response mechanisms";"Declare emergency state";"";"";"https://www.ceo.gov.hk/chi/pdf/article20200225.pdf"
"983";983;"Hong Kong";"HKG";"Hong Kong";"22/01/2020";"Risk communication";"Actively communicate with healthcare professionals";"Sensitization of hospital, medico-social and liberal health professionals";"";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200122/20200122_211638_587.html?type=category&name=covid19&tl=t"
"984";984;"Hong Kong";"HKG";"Hong Kong";"24/01/2020";"Risk communication";"Actively communicate with healthcare professionals";"Health agencies and emergency healthcare";"";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200124/20200124_184719_138.html?type=category&name=covid19&tl=t"
"985";985;"Hong Kong";"HKG";"Hong Kong";"31/12/2019";"Risk communication";"Actively communicate with stakeholders";"Daily press conference";"";"";"https://www.ceo.gov.hk/chi/pdf/article20200225.pdf"
"986";986;"Hong Kong";"HKG";"Hong Kong";"11/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from Hubei";"";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200111/20200111_124029_000.html?type=category&name=covid19&tl=t"
"987";987;"Hong Kong";"HKG";"Hong Kong";"11/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Test travellers with fever or symptoms";"All incomings";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200111/20200111_124029_000.html?type=category&name=covid19&tl=t"
"988";988;"Hong Kong";"HKG";"Hong Kong";"20/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Health certificate requested";"from Wuhan";"3/6 from all people enter Hongkong";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200120/20200120_192835_870.html?type=category&name=covid19&tl=t"
"989";989;"Hong Kong";"HKG";"Hong Kong";"31/01/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for all passengers";"";"international airport";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200131/20200131_173510_743.html?type=category&name=covid19&tl=t"
"990";990;"Hong Kong";"HKG";"Hong Kong";"25/02/2020";"Case identification, contact tracing and related measures";"Airport health check";"Measure temperature for passengers from high-risk areas other than China";"";"s.Korea";"https://www.info.gov.hk/gia/general/202002/24/P2020022400769.htm"
"991";991;"Hong Kong";"HKG";"Hong Kong";"25/02/2020";"Case identification, contact tracing and related measures";"Airport health check";"Quarantine all incoming people with fever";"";"s.Korea";"https://www.info.gov.hk/gia/general/202002/24/P2020022400769.htm"
"992";992;"Hong Kong";"HKG";"Hong Kong";"27/01/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from Wuhan";"Hubei";"Given that all the current confirmed cases are imported ones, the HKSAR Government has decided to enhance immigration control to prevent the spreading of the disease. Specific measures in this aspect include:  (i) indefinitely suspending flight and high-speed train services to and from Wuhan of the Hubei Province;";"https://www.info.gov.hk/gia/general/202001/26/P2020012600087.htm"
"993";993;"Hong Kong";"HKG";"Hong Kong";"25/02/2020";"Travel restriction";"Airport restriction";"Denial entry of travellers from high risk areas other than China";"South Korea";"Authorities announce that non-resident arrivals from South Korea will be prohibited entry into the territory to contain spread of COVID-19 effective February 25; follow authority directives";"https://www.garda.com/crisis24/news-alerts/317706/hong-kong-authorities-bar-non-resident-arrivals-from-south-korea-to-contain-covid-19-spread-february-25-update-11"
"994";994;"Hong Kong";"HKG";"Hong Kong";"07/01/2020";"Case identification, contact tracing and related measures";"Border health check";"Measure temperature";"Travellers from Wuhan";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200107/20200107_102429_019.html?type=category&name=covid19&tl=t"
"995";995;"Hong Kong";"HKG";"Hong Kong";"07/01/2020";"Case identification, contact tracing and related measures";"Border health check";"Test at the border";"";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200107/20200107_102429_019.html?type=category&name=covid19&tl=t"
"996";996;"Hong Kong";"HKG";"Hong Kong";"24/01/2020";"Case identification, contact tracing and related measures";"Border health check";"Health certificate requested";"Specify country/countries or ""undefined""";"from mainland China";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200126/20200126_095059_906.html?type=category&name=covid19&tl=t"
"997";997;"Hong Kong";"HKG";"Hong Kong";"24/01/2020";"Case identification, contact tracing and related measures";"Border health check";"Health declaration";"";"from mainland China";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200126/20200126_095059_906.html?type=category&name=covid19&tl=t"
"998";998;"Hong Kong";"HKG";"Hong Kong";"27/01/2020";"Travel restriction";"Border restriction";"Borders closed for people from high-risk areas other than China";"";"Hubei";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/02/20200226/20200226_131621_829.html?type=category&name=covid19&tl=t"
"999";999;"Hong Kong";"HKG";"Hong Kong";"22/03/2020";"Travel restriction";"Border restriction";"Borders closed for people from high-risk areas other than China";"";"From all ountries other than mainland China";"https://sc.news.gov.hk/chi/2020/03/20200323/20200323_164827_699.html?type=category&name=covid19&tl=t"
"1000";1000;"Hong Kong";"HKG";"Hong Kong";"23/03/2020";"Travel restriction";"Border restriction";"Borders closed to all non-citizens";"";"From all ountries other than mainland China";"https://sc.news.gov.hk/chi/2020/03/20200323/20200323_164827_699.html?type=category&name=covid19&tl=t"
"1001";1001;"Hong Kong";"HKG";"Hong Kong";"25/01/2020";"Social distancing";"Closure of educational institutions";"Reduction of excursions, out-of-house events";"";"";"https://sc.news.gov.hk/TuniS/www.news.gov.hk/chi/2020/01/20200125/20200125_191553_178.html?type=category&name=covid19&tl=t"
"1002";1002;"Hong Kong";"HKG";"Hong Kong";"25/01/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of kindergartens";"Hong Kong schools, kindergartens closed until at least March 2 as coronavirus fears grow, three universities take similar action";"https://www.scmp.com/news/hong-kong/education/article/3048305/hong-kong-universities-suspend-classes-until-march-china"
"1003";1003;"Hong Kong";"HKG";"Hong Kong";"25/01/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of primary and secondary schools";"Hong Kong schools, kindergartens closed until at least March 2 as coronavirus fears grow, three universities take similar action";"https://www.scmp.com/news/hong-kong/education/article/3048305/hong-kong-universities-suspend-classes-until-march-china"
"1004";1004;"Hong Kong";"HKG";"Hong Kong";"31/01/2020";"Social distancing";"Closure of educational institutions";"Complete closure of educational institutions";"Complete closure of universities, research institutions";"Hong Kong schools, kindergartens closed until at least March 2 as coronavirus fears grow, three universities take similar action";"https://www.scmp.com/news/hong-kong/education/article/3048305/hong-kong-universities-suspend-classes-until-march-china"
