"parent","link","child","value"
"Decrease time between test and result","L3-L4","",4
"Decrease time between test and result","L3-L4","1 hour",1
"Decrease time between test and result","L3-L4","Development of a rapid diagnostic test enabling a result to be given in a few hours.",1
"Delivery of medical supplies and equipment","L3-L4","",2
"Delivery of medical supplies and equipment","L3-L4","Charter flight",3
"Delivery of medical supplies and equipment","L3-L4","Devices for ventilators",1
"Deny entry to cruise ships","L3-L4","",4
"Deny entry to cruise ships","L3-L4","All",6
"Deny entry to cruise ships","L3-L4","All cruise vessels",1
"Deny entry to cruise ships","L3-L4","All international cruise ships",1
"Deny entry to cruise ships","L3-L4","Deny entry to passengers",1
"Deny entry to cruise ships","L3-L4","Diamond Princess : With suspected cases or from China",1
"Deny entry to cruise ships","L3-L4","Other than Taiwan and China",1
"Deny entry to cruise ships","L3-L4","Sea connections to The Balearic Islands cease",1
"Deny entry to cruise ships","L3-L4","With history of travel to China, Hong Kong, or Macau",1
"Deny entry to cruise ships","L3-L4","With suspected cases or from China",2
"Deny entry to passengers from any port outside the country","L3-L4","Passengers from any port outside the USA shall not disembark",1
"Develop all-of-society and business continuity plans","L3-L4","",2
"Develop all-of-society and business continuity plans","L3-L4","Benefits for self-employed, students, pensioners",1
"Develop all-of-society and business continuity plans","L3-L4","Compensation for wage costs",4
"Develop all-of-society and business continuity plans","L3-L4","Economic aid package",1
"Develop all-of-society and business continuity plans","L3-L4","Economic support to childcare employers",1
"Develop all-of-society and business continuity plans","L3-L4","Economic support to construction workers",1
"Develop all-of-society and business continuity plans","L3-L4","Economic support to farmers",4
"Develop all-of-society and business continuity plans","L3-L4","Economic support to financial sector",1
"Develop all-of-society and business continuity plans","L3-L4","Economic support to small and medium enterprises",15
"Develop all-of-society and business continuity plans","L3-L4","Economic support to the maritime sector",1
"Develop all-of-society and business continuity plans","L3-L4","Economic support to the media sector",1
"Develop all-of-society and business continuity plans","L3-L4","Economic support to the most affected workers and businesses",8
"Develop all-of-society and business continuity plans","L3-L4","Enhance digital capacity of food businesses",1
"Develop all-of-society and business continuity plans","L3-L4","Enhance digital capacity of retail companies",1
"Develop all-of-society and business continuity plans","L3-L4","Extension of administrative deadlines for enterprises",1
"Develop all-of-society and business continuity plans","L3-L4","Extension of administrative deadlines on planning and building control ",1
"Develop all-of-society and business continuity plans","L3-L4","Extension of health insurance",7
"Develop all-of-society and business continuity plans","L3-L4","Facilitate access to short-time work benefits",2
"Develop all-of-society and business continuity plans","L3-L4","Facilitate loans for companies to support for women, youth and digitalization in business",1
"Develop all-of-society and business continuity plans","L3-L4","Facilitate loans for entrepreneurs and businesses",15
"Develop all-of-society and business continuity plans","L3-L4","Facilitate loans for start-ups and small and micro companies",1
"Develop all-of-society and business continuity plans","L3-L4","Facilitate temporary suspension of work contracts to limit job loss",1
"Develop all-of-society and business continuity plans","L3-L4","Financial compensation for daycare",1
"Develop all-of-society and business continuity plans","L3-L4","Fisheries and aquaculture",1
"Develop all-of-society and business continuity plans","L3-L4","Fisheries, aquaculture and seafood processing sectors",2
"Develop all-of-society and business continuity plans","L3-L4","Funding for NGOs",2
"Develop all-of-society and business continuity plans","L3-L4","Gives banks more flexibility in granting credits",1
"Develop all-of-society and business continuity plans","L3-L4","Global economic support to workers, employers and businesses",26
"Develop all-of-society and business continuity plans","L3-L4","Guaranty payment of sick leaves during the epidemic",8
"Develop all-of-society and business continuity plans","L3-L4","Lower national bank reserve requirement to support businesses",1
"Develop all-of-society and business continuity plans","L3-L4","Partial or total deferral of insurance payments",1
"Develop all-of-society and business continuity plans","L3-L4","Partial or total deferral of tax payments for businesses",16
"Develop all-of-society and business continuity plans","L3-L4","Protection of companies with public procurement contracts",1
"Develop all-of-society and business continuity plans","L3-L4","Strengthen support for skills upgrade and in-house training",1
"Develop all-of-society and business continuity plans","L3-L4","Support aviation sector",1
"Develop all-of-society and business continuity plans","L3-L4","Support companies to avoid massive lay-offs",2
"Develop all-of-society and business continuity plans","L3-L4","Support short-time work allowance",2
"Develop all-of-society and business continuity plans","L3-L4","Support to hospitality and catering services",2
"Develop all-of-society and business continuity plans","L3-L4","Support to independent workers",1
"Develop all-of-society and business continuity plans","L3-L4","Support to social services",1
"Develop all-of-society and business continuity plans","L3-L4","Support to textile, clothing, footwear, mining and timber industries",1
"Develop all-of-society and business continuity plans","L3-L4","Support to the agri-food sector",5
"Develop all-of-society and business continuity plans","L3-L4","Support to the agricultural and horticultural sectors",1
"Develop all-of-society and business continuity plans","L3-L4","Support to the education and research sector",1
"Develop all-of-society and business continuity plans","L3-L4","Support to the industries",1
"Develop all-of-society and business continuity plans","L3-L4","Support to the oil, gas and the supply industry",1
"Develop all-of-society and business continuity plans","L3-L4","Support to the press",1
"Develop all-of-society and business continuity plans","L3-L4","Support to transportation sector",4
"Develop all-of-society and business continuity plans","L3-L4","Support tourism, sport and culture sectors",13
"Develop all-of-society and business continuity plans","L3-L4","Suspend evictions and foreclosures",1
"Develop all-of-society and business continuity plans","L3-L4","Suspend the tax on air passengers",1
"Develop all-of-society and business continuity plans","L3-L4","Suspension of payment liabilities on loans taken out by businesses",1
"Dialyse center converted in hospital","L3-L4","",1
"Digital assistant","L3-L4","For diagnosis and case management",1
"Direct advice to vulnerable populations","L3-L4","Campaign to reach all people to inform them on covid-19",1
"Direct advice to vulnerable populations","L3-L4","Elderly",1
"Direct advice to vulnerable populations","L3-L4","FAQ vulnerable persons",2
"Direct advice to vulnerable populations","L3-L4","Helpline for those most in need",1
"Direct advice to vulnerable populations","L3-L4","Homeless people urged to seek shelter",1
"Direct advice to vulnerable populations","L3-L4","Homeless persons",1
"Direct advice to vulnerable populations","L3-L4","Indigeneous populations",1
"Direct advice to vulnerable populations","L3-L4","Marginalized Roma communities",1
"Direct advice to vulnerable populations","L3-L4","Message for pregnant women, elderly and at risk profesions",1
"Direct advice to vulnerable populations","L3-L4","Nationals living in Wuhan",1
"Direct advice to vulnerable populations","L3-L4","Recommend the elderly to stay at home",2
"Direct advice to vulnerable populations","L3-L4","Vulnerable population should not travel on cruise ship",1
"Direct advice to vulnerable populations","L3-L4","Webpage and App to support those suffering from mental illness",1
"Direct government communication","L3-L4","",3
"Direct government communication","L3-L4","Campaign to support the restaurant industry",1
"Direct government communication","L3-L4","Direct communication from health authorities",1
"Direct government communication","L3-L4","Direct communication from health authorities: Press conference",1
"Direct government communication","L3-L4","Encourage confinement",1
"Direct government communication","L3-L4","Government announces phase-out strategy plan",2
"Direct government communication","L3-L4","Inform on the strategy against Covid-19",1
"Direct government communication","L3-L4","King, TV",1
