,Measure_L1,Measure_L2,Measure_L3,Measure_L4
1283,Risk communication,Actively communicate with healthcare professionals,Role of Frontline Workers in Prevention and Management of CORONA VIRUS,
1284,Healthcare and public health capacity,Increase healthcare workforce,Train medical staff specially for covid-19,Telemedicine Practice Guidelines
1285,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Healthcare professionals
1287,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Vulnerable people
1288,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Farmers
1289,Resource allocation,Crisis management plans,Develop all-of-society and business continuity plans,Building and Construction Workers
1290,Risk communication,Educate and actively communicate with the public,"Hydroxychloroquine now a schedule H1 drug, can be sold on prescription only",
1291,"Case identification, contact tracing and related measures",Quarantine,Additional quarantine facilities,Sarusajai stadium†and†Nehru Stadium†in†Guwahati
1295,Risk communication,Actively communicate with healthcare professionals,"Sensitization of hospital, medico-social and liberal health professionals",COVID-19 Health Service Providers Toolkit
1296,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,State of emergency declared
1297,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,Emergency period for 91 days.
1300,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,South Korea
1301,Travel restriction,Border restriction,Borders closed for people from high-risk areas other than China,"UK, Iran, Italy, the Vatican, Spain, France, Germany and Switzerland"
1302,Risk communication,Educate and actively communicate with the public,Activate communication to the public,Televised statement
1303,Risk communication,Educate and actively communicate with the public,Promote the 2m distance,Advise on social distancing
1304,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Advise to Indonesian nationals to return home
1305,Risk communication,Educate and actively communicate with the public,Warning against travel to and return from risk areas,Advise to restrict all non-essential travel
1306,Healthcare and public health capacity,Increase in medical supplies and equipment,Ban on exportation of medical equipment and drugs,Stop on exporting medical equipment
1307,Healthcare and public health capacity,Increase patient capacity,Emergency hospitals,COVID-19 emergency hospital in Jakarta
1308,Healthcare and public health capacity,Increase in medical supplies and equipment,,Import of 9 tonnes of medical equipment
1309,Healthcare and public health capacity,Enhance healthcare capacity - Funds,Incentive for medical personnel,
1310,Healthcare and public health capacity,Enhance laboratory testing,Decrease time between test and result,Mass rapid tests
1311,"Case identification, contact tracing and related measures",Quarantine,Contact persons,Quarantine of non symptomatic COVID-19 patients.
1312,"Case identification, contact tracing and related measures",Quarantine,All incomings from high-risk areas,Repatriation and quarantine.
1314,Social distancing,Return operation of nationals living in regions at risk,Evacuation from cruise ships,
1315,Social distancing,Work safety protocols,,Mandatory COVID-19 prevention equipment.
1316,Healthcare and public health capacity,Enhance emergency response mechanisms,Declare emergency state,State of emergency declared for 14 days
