"","Measure_L1","Measure_L2","Measure_L3","Measure_L4"
"1177","Resource allocation","Emergency response mechanisms","Enhance emergency response mechanisms","State of national crisis"
"1178","Healthcare and public health capacity","Prevent contamination by body fluids","Measures for blood donation","Persons who travelled abroad are excluded from blood donation"
"1179","Case identification, contact tracing and related measures","Border health check","Quarantine facility for suspected cases, otherwise home quarantine",""
"1180","Healthcare and public health capacity","Increase healthcare workforce","Travel ban for healthcare professionals",""
"1181","Social distancing","Closure of educational institutions","Reduction of excursions, out-of-house events","trips abroad suspended"
"1183","Social distancing","Mass gathering cancellation","Limit up to 100 persons","indoors"
"1184","Social distancing","Mass gathering cancellation","Limit up to 500 persons","outdoors"
"1185","Travel restriction","Border restriction","Land border controls","Slovenia and Austria"
"1187","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Italy, South Korea, Iran"
"1188","Travel restriction","Border restriction","Entry ban for people from high-risk areas other than China","Israel"
"1189","Travel restriction","Border restriction","Land border controls","Austria and Slovenia"
"1190","Resource allocation","Police and army interventions","To enforce quarantine","Police sanction if quarantine not respected"
"1191","Healthcare and public health capacity","Research","Vaccine and antiviral development","working team is set up"
"1193","Risk communication","Educate and actively communicate with the public","Advice for special populations","Elderly"
"1195","Resource allocation","Crisis management plans","Implement repurpose government plans","methodology for school digitalization"
"1199","Social distancing","Small gathering cancellation","All",""
"1200","Social distancing","Mass gathering cancellation","Limit up to 500 persons","Outdoor activities"
"1202","Social distancing","Mass gathering cancellation","Limit up to 100 persons","Indoor activities"
"1207","Social distancing","Special measures for certain establishments","Post","Measures to protect post offciers and customers"
"1208","Social distancing","Mass gathering cancellation","Closure of non-essential public places","nightclubs, pubs, entertainment places"
"1210","Social distancing","Measures for special populations","Social institutions","Ban visit"
